order_id,customer_region,product_category,order_date,ship_date,delivery_date,shipping_mode,shipping_cost,delivery_status,delivery_days,on_time_flag,delay_flag
OR10000,West,Home,2024-05-12,2024-05-15,2024-05-26,Standard,122,Delivered,11,1,0
OR10001,Central,Home,2025-04-19,2025-04-20,2025-04-26,Standard,143,Delivered,6,1,0
OR10002,East,Home,2025-07-02,2025-07-05,2025-07-11,Standard,107,Delayed,6,0,1
OR10003,Central,Grocery,2025-10-04,2025-10-07,2025-10-16,Standard,145,Delayed,9,0,1
OR10004,Central,Sports,2023-10-31,2023-11-01,2023-11-07,Standard,121,Delivered,6,1,0
OR10005,South,Home,2024-07-22,2024-07-25,2024-08-02,Standard,62,Delivered,8,1,0
OR10006,East,Fashion,2022-12-23,2022-12-24,2022-12-30,Standard,113,Delivered,6,1,0
OR10007,East,Beauty,2022-05-03,2022-05-04,2022-05-11,Express,130,Delivered,7,1,0
OR10008,East,Beauty,2022-11-10,2022-11-13,2022-11-19,Express,208,Delivered,6,1,0
OR10009,Central,Home,2022-09-28,2022-10-01,2022-10-07,Standard,132,Delivered,6,1,0
OR10010,West,Sports,2025-04-20,2025-04-21,2025-04-26,Standard,134,Delayed,5,0,1
OR10011,East,Sports,2023-12-03,2023-12-06,2023-12-18,Express,103,Delivered,12,1,0
OR10012,Central,Grocery,2022-02-26,2022-02-26,2022-03-01,Express,161,Delivered,3,1,0
OR10013,South,Home,2023-10-02,2023-10-03,2023-10-09,Standard,79,Delivered,6,1,0
OR10014,West,Fashion,2025-01-07,2025-01-10,2025-01-21,Standard,144,Delivered,11,1,0
OR10015,South,Grocery,2023-08-06,2023-08-09,2023-08-15,Standard,117,Delivered,6,1,0
OR10016,West,Grocery,2022-02-27,2022-02-28,2022-03-07,Standard,143,Delivered,7,1,0
OR10017,Central,Home,2025-12-27,2025-12-30,2026-01-08,Standard,86,Delivered,9,1,0
OR10018,North,Home,2025-12-11,2025-12-14,2025-12-20,Standard,102,Delivered,6,1,0
OR10019,West,Grocery,2023-07-12,2023-07-15,2023-07-25,Standard,128,Returned,10,1,0
OR10020,South,Grocery,2024-01-25,2024-01-25,2024-01-29,Standard,53,Delivered,4,1,0
